STEM,LEMMA,FORMS...
platter,platter (n),platter (NN)
play,play (v),played (VBD),play (NN),playing (VBG),plays (VBZ)
plea,plea (n),plea (NN),pleas (NNS)
plead,pleading (n),pleading (NN)
pleas,pleased (JJ),pleased (JJ),please (JJ),pleases (NNS)
pleasant,pleasant (JJ),pleasant (JJ)
pleasantri,pleasantry (n),pleasantries (NNS)
pleasur,pleasures (VBZ),pleasures (VBZ)
pledg,pledge (v),pledged (VBD)
plenti,plenty (n),plenty (JJ)
plier,plier (n),pliers (NNS)
plod,plod (v),plodding (VBG)
plot,plot (v),plotting (VBG),plotted (VBD),plot (VBP)
pluck,pluck (n),plucks (NNS),plucking (VBG),pluck (NN)
plug,plug (v),plugged (VBD),plug (NN)
plume,plume (n),plumes (NNS),plume (JJ)
plung,plunge (v),plunging (VBG)
plus,plus (n),plus (CC)
pockmark,pockmark (v),pockmarked (VBD)
pod,pod (n),pods (NNS),pod (NN)
poetic,poetic (JJ),poetic (JJ)
point,point (v),pointing (VBG),pointed (VBD),point (VBP),points (NNS)
pointless,pointless (NN),pointless (NN)
pois,poise (v),poised (VBN)
poison,poisonous (JJ),poisonous (JJ),poisons (NNS),poisoned (VBD),poison (VBP)
pole,pole (n),poles (NNS),pole (JJ)
polit,political (JJ),political (JJ),politics (NNS),politely (RB)
polymath,polymath (n),polymath (NN)
polyp,polyp (n),polyps (JJ)
ponder,ponder (v),pondering (VBG),pondered (VBD),ponderous (JJ),ponder (NN)
pool,pool (v),pool (VBP)
poor,poorly (JJ),poorly (JJ),poor (JJ)
poorer,poorer (NN),poorer (NN)
pop,pop (v),popping (VBG),pop (JJ)
popul,populate (v),populating (VBG),populate (RB),population (NN)
popular,popularity (n),popularity (NN),popular (JJ)
pore,pore (v),pores (VBZ),poring (NN),pored (JJ)
portal,portal (n),portal (JJ)
portia,portias (JJ),portias (JJ),portia (JJ)
portian,portian (JJ),portian (JJ)
portiid,portiids (VBP),portiids (VBP)
pose,pose (v),poses (VBZ),posed (JJ),pose (VBP)
posit,position (n),position (NN),positions (NNS),positive (JJ),positioned (JJ)
possess,posse (n),possesses (NNS),possessing (VBG),possess (NN),possessed (JJ),possession (NN),possessions (NNS)
possibl,possibility (n),possibility (NN),possible (JJ),possibly (RB),possibilities (NNS)
post,post (n),post (NN),posts (NNS),posted (VBN)
post-glaci,post-glacial (JJ),post-glacial (JJ)
post-war,post-war (JJ),post-war (JJ)
poster,posterity (n),posterity (NN)
posthum,posthumous (JJ),posthumous (JJ)
postur,posture (n),posture (NN),posturing (NN)
pot,pot (v),potted (VBD)
potenti,potentially (RB),potentially (RB),potential (JJ)
potsherd,potsherd (n),potsherds (NNS)
pounc,pounce (v),pouncing (VBG)
pound,pound (n),pound (NN),pounded (VBD)
pour,pour (v),poured (VBD)
power,powerful (JJ),powerful (JJ),powers (NNS),power (NN),powered (VBN)
powers-that-b,powers-that-be (JJ),powers-that-be (JJ)
practic,practice (n),practice (NN),practically (RB),practical (NN)
practis,practise (v),practising (VBG),practised (VBD),practise (NN)
pragmat,pragmatic (n),pragmatic (JJ),pragmatically (RB)
prayer,prayer (n),prayers (NNS)
pre-arm,pre-armed (JJ),pre-armed (JJ)
pre-emin,pre-eminent (NN),pre-eminent (NN)
pre-launch,pre-launch (JJ),pre-launch (JJ)
pre-low,pre-lowered (JJ),pre-lowered (JJ)
pre-prepar,pre-prepared (JJ),pre-prepared (JJ)
pre-set,pre-set (JJ),pre-set (JJ)
preach,preach (v),preach (VBP),preaches (NNS),preached (VBN)
prearrang,prearrange (v),prearranged (VBN)
precaut,precaution (n),precautions (NNS)
preced,precedence (n),precedence (NN),preceded (VBD)
precious,precious (JJ),precious (JJ)
precis,precision (n),precision (NN),precise (VBP),precisely (RB)
precursor,precursor (n),precursors (NNS)
predat,predator (n),predators (NNS)
predecessor,predecessor (n),predecessors (NNS),predecessor (NN)
predica,predicament (n),predicament (NN)
predict,predict (v),predicted (VBD),predict (NN),predictions (NNS),predictable (JJ)
preemin,preeminence (n),preeminence (NN),preeminent (JJ)
prefer,preferably (RB),preferably (RB),preferred (JJ),prefer (VBP),prefers (NNS)
prejudic,prejudice (n),prejudice (JJ)
premium,premium (n),premium (NN)
preoccup,preoccupation (n),preoccupations (NNS)
prepar,prepare (v),prepare (VB),preparing (NN),prepares (VBZ),prepared (JJ),preparations (NNS)
prerequisit,prerequisite (n),prerequisite (JJ)
presenc,presence (n),presence (NN)
present,present (n),present (NN),presents (NNS)
preserv,preserve (v),preserved (VBD),preserving (VBG),preserve (JJ)
presid,presides (NNS),presides (NNS)
press,press (v),press (VBP),pressed (VBN),presses (NNS),pressing (VBG)
pressur,pressurize (NN),pressurize (NN),pressure (VBP),pressurized (VBN)
prestig,prestige (n),prestige (JJ)
presum,presumably (RB),presumably (RB)
pretenc,pretence (n),pretence (NN)
pretend,pretend (v),pretending (VBG),pretend (VBP)
pretti,pretty (RB),pretty (RB)
prevent,prevent (v),prevented (VBN),prevent (NN),preventable (JJ),preventing (VBG),prevents (NNS)
previous,previously (RB),previously (RB),previous (JJ)
prey,prey (v),preyed (VBD),prey (NN)
preymateirrelev,preymateirrelevant (JJ),preymateirrelevant (JJ)
preynot-prey,preynot-prey (JJ),preynot-prey (JJ)
pri,pry (v),prying (VBG),pry (NN),pried (VBD)
price,price (n),price (NN)
prick,prick (n),prick (NN)
prickl,prickle (n),prickle (NN)
priest,priest (n),priest (JJS),priestly (RB),priests (VBZ)
priest-engin,priest-engineers (NNS),priest-engineers (NNS)
priest-scientist,priest-scientists (NNS),priest-scientists (NNS)
priestess,priestesses (VBZ),priestesses (VBZ),priestess (NN)
priesthood,priesthood (n),priesthood (NN)
prim,primly (RB),primly (RB)
primal,primal (JJ),primal (JJ)
primari,primary (n),primary (NN)
primarili,primarily (RB),primarily (RB)
primat,primate (n),primate (NN),primates (NNS)
prime,prim (v),priming (VBG),prime (JJ)
primit,primitive (n),primitive (JJ),primitives (VBZ)
princ,prince (n),prince (NN)
princip,principally (RB),principally (RB),principal (JJ)
principl,principle (n),principles (NNS)
prior,prior (n),prior (RB)
priorit,prioritize (NN),prioritize (NN)
prioriti,priority (n),priority (NN),priorities (NNS)
prison,prison (n),prison (NN),prisoner (NN),prisoners (NNS)
prison-camp,prison-camp (JJ),prison-camp (JJ)
pristin,pristine (NN),pristine (NN)
privat,private (n),private (JJ)
privileg,privilege (n),privilege (NN)
prize,prized (JJ),prized (JJ),prize (NN),prizes (NNS)
proactiv,proactive (JJ),proactive (JJ)
probabl,probably (RB),probably (RB)
probe,probe (n),probe (NN)
problem,problem (n),problems (NNS),problem (NN)
problem-solv,problem-solvers (NNS),problem-solvers (NNS)
procedur,procedural (JJ),procedural (JJ),procedure (VB),procedures (NNS)
proceed,proceeding (n),proceedings (NNS),proceeding (VBG),proceed (NN)
process,process (v),processed (VBN),processing (NN),process (NN),processes (VBZ)
proclam,proclamation (n),proclamation (NN)
prod,prod (v),prodded (VBD),prodding (VBG)
prodigi,prodigy (n),prodigy (NN)
produc,produce (v),producing (VBG),produced (VBD),produce (VBP)
product,production (n),production (NN),productive (JJ),product (NN),products (NNS)
profess,profession (n),profession (NN)
profession,professional (n),professional (JJ)
proffer,proffer (v),proffered (VBN)
profil,profile (n),profile (NN)
profit,profit (n),profit (NN),profitable (JJ)
profound,profoundly (RB),profoundly (RB)
profus,profusion (n),profusion (NN)
progeni,progeny (n),progeny (NN)
progenitor,progenitor (n),progenitors (NNS)
program,program (n),programs (NNS),programming (VBG),programmed (VBD),program (NN)
progress,progress (n),progress (NN),progressed (VBN),progresses (VBZ),progression (NN),progressions (NNS),progressing (VBG)
prohibit,prohibition (n),prohibitions (NNS),prohibited (VBN)
project,project (v),projected (VBN),project (VBP),projects (NNS)
projectil,projectile (n),projectile (NN),projectiles (NNS)
prolong,prolong (RB),prolong (RB),prolonged (VBD)
promin,prominence (n),prominence (NN)
promis,promise (v),promise (VBP),promised (VBD),promises (VBZ)
promot,promote (v),promoted (VBN)
prompt,prompted (JJ),prompted (JJ),prompt (JJ),prompts (NNS),promptly (RB)
prone,prone (NN),prone (NN)
pronounc,pronounce (v),pronounced (VBD),pronouncement (JJ),pronouncements (NNS),pronouncing (VBG)
proof,proof (n),proof (NN),proofs (JJ)
propag,propagate (v),propagating (VBG)
propel,propel (v),propelled (VBD),propellers (NNS),propellant (JJ)
proper,proper (JJ),proper (JJ),properly (RB)
prophet,prophet (VBP),prophet (VBP)
proport,proportion (n),proportion (NN),proportions (NNS)
propos,propose (v),proposed (VBN),proposing (VBG)
proposit,proposition (n),proposition (NN)
proprieti,propriety (n),propriety (NN)
prosecut,prosecute (v),prosecuted (VBN),prosecution (NN)
prospect,prospect (n),prospect (JJ)
prosper,prosperous (JJ),prosperous (JJ),prospered (JJ),prosperity (NN),prosper (NN)
prosthesi,prosthesis (n),prosthesis (NN)
protect,protective (JJ),protective (JJ),protected (VBN),protecting (VBG),protect (JJ),protection (NN),protects (NNS)
protest,protest (v),protesting (VBG),protests (NNS),protested (VBD)
protg,protgs (VBP),protgs (VBP),protg (JJ)
protocol,protocol (n),protocols (NNS)
prototyp,prototypical (JJ),prototypical (JJ)
protrus,protrusion (n),protrusions (NNS)
proud,proud (JJ),proud (JJ)
prove,prove (v),proved (VBD),prove (IN)
proven,provenance (n),provenance (NN)
provid,provide (v),providing (VBG),provide (NN),provided (VBD)
provinc,province (n),province (NN)
provocateur,provocateur (n),provocateurs (JJ)
provok,provoke (NN),provoke (NN),provoking (NN)
prowess,prowess (n),prowess (NN)
proxi,proxy (n),proxies (NNS)
prudent,prudently (RB),prudently (RB)
prurient,prurient (VBP),prurient (VBP)
psycholog,psychology (VBP),psychology (VBP)
psychopath,psychopath (n),psychopaths (NNS),psychopath (NN)
psychot,psychotic (n),psychotic (JJ)
public,public (n),public (JJ),publication (NN)
publish,publish (v),published (VBN),publisher (NN)
puf,puff (v),puffed (VBP)
pull,pull (v),pulling (VBG),pull (JJ),pulled (JJ)
puls,pulse (n),pulse (JJ),pulsing (VBG),pulsed (VBD),pulses (VBZ)
pulsar,pulsar (n),pulsars (NNS)
punch,punch (n),punch (JJ)
punchier,punchier (NN),punchier (NN)
punctuat,punctuate (v),punctuated (VBN)
punctur,puncture (n),puncture (NN)
punish,punish (v),punishing (VBG),punished (VBD),punishments (NNS),punishment (JJ),punishable (JJ)
punit,punitive (JJ),punitive (JJ)
puppet,puppet (n),puppets (NNS),puppet (NN)
puppetri,puppetry (n),puppetry (NN)
purchas,purchase (n),purchase (NN)
pure,pure (NN),pure (NN)
purg,purge (n),purge (NN)
purgatori,purgatory (n),purgatory (NN)
puriti,purity (n),purity (NN)
purloin,purloin (v),purloined (VBD)
purport,purportedly (RB),purportedly (RB)
purpos,purpose (n),purpose (JJ),purposes (VBZ),purposeful (JJ)
purs,pursed (JJ),pursed (JJ)
pursu,pursue (v),pursuing (VBG),pursues (NNS),pursue (NN)
pursuit,pursuit (n),pursuit (NN),pursuits (NNS)
push,push (n),push (NN),pushing (VBG),pushed (VBN)
push-pul,push-pulled (JJ),push-pulled (JJ)
put,put (n),puts (NNS),put (VBD),putting (VBG)
putdown,putdown (JJ),putdown (JJ)
puzzl,puzzle (v),puzzled (VBD)
quaint,quaintly (RB),quaintly (RB)
qualifi,qualifies (NNS),qualifies (NNS)
qualiti,quality (n),qualities (NNS),quality (NN)
qualm,qualm (n),qualms (NNS)
quantiti,quantity (n),quantity (NN)
quarantin,quarantine (n),quarantine (NN),quarantined (VBD)
quarrelsom,quarrelsome (VBP),quarrelsome (VBP)
quarri,quarry (n),quarry (NN)
quarter,quarter (n),quarters (NNS),quarter (NN)
quartet,quartet (n),quartet (NN)
quash,quash (v),quashed (VBD)
quaver,quaver (n),quaver (RB)
queen,queen (n),queen (NN)
queri,query (v),querying (VBG),queried (VBD),queries (NNS)
quest,quest (n),quest (RB),questing (VBG)
question,question (n),question (NN),questions (NNS)
quibbl,quibble (n),quibbles (NNS)
quick,quick (n),quick (JJ),quickly (RB)
quick-act,quick-acting (JJ),quick-acting (JJ)
quicken,quicken (JJ),quicken (JJ)
quicker,quicker (NN),quicker (NN)
quiescent,quiescent (JJ),quiescent (JJ)
quiet,quietly (RB),quietly (RB),quiet (JJ)
quieten,quieten (RB),quieten (RB)
quintessenti,quintessentially (RB),quintessentially (RB)
quit,quit (NN),quit (NN),quite (RB)
quiver,quiver (v),quivering (VBG),quiver (NN)
quizz,quizzed (JJ),quizzed (JJ)
quo,quo (JJ),quo (JJ)
race,race (n),races (NNS),racing (VBG),race (NN)
rack,rack (v),racking (VBG)
radial,radial (n),radial (JJ)
radianc,radiance (n),radiance (NN)
radiat,radiate (NN),radiate (NN),radiating (NN)
radic,radical (n),radical (JJ)
radio,radio (v),radioed (VBD),radios (NNS),radio (VBP)
radius,radius (n),radius (JJ)
rag,rag (v),ragged (VBN)
rage,rage (n),rage (NN),raging (VBG)
ragged-edg,ragged-edged (JJ),ragged-edged (JJ)
raid,raid (v),raided (VBD),raiding (VBG),raid (VBN)
rain,rain (n),rain (NN)
rain-catch,rain-catchers (NNS),rain-catchers (NNS)
rais,raise (v),raise (VBP),raised (VBD),raises (NNS),raising (VBG)
rake,rake (v),raked (VBD),raking (VBG)
ralli,rally (v),rallying (VBG)
ram,ram (v),ramming (VBG),ram (NN)
ramrod,ramrod (n),ramrod (JJ)
ran,run (v),ran (VBD)
random,random (JJ),random (JJ),randomly (NN)
rang,range (n),ranges (NNS),rang (NN),ranged (VBD),range (JJ),ranging (VBG)
rank,rank (v),ranked (VBD),rank (VB),ranks (VBZ)
rankl,rankle (NN),rankle (NN)
rant,rant (n),rant (JJ),ranting (VBG)
rapaci,rapacious (JJ),rapacious (JJ)
rapid,rapidly (RB),rapidly (RB),rapid (JJ)
rapport,rapport (n),rapport (NN)
rapt,rapt (JJ),rapt (JJ)
rare,rare (JJ),rare (JJ)
rasa,rasa (JJ),rasa (JJ)
rasp,rasp (v),rasped (VBN)
rate,rate (n),rate (NN),rates (NNS)
rather,rather (RB),rather (RB)
ratio,ratio (n),ratio (NN)
ration,rational (n),rational (JJ),rations (NNS),rationally (RB)
rattl,rattle (v),rattled (VBD),rattling (VBG)
raucous,raucous (JJ),raucous (JJ)
ravag,ravage (n),ravages (NNS),ravaged (VBD)
rave,rave (v),raving (VBG)
raven,ravenous (JJ),ravenous (JJ),ravenously (RB)
raw,raw (n),raw (JJ),rawness (RB)
re-clench,re-clenching (JJ),re-clenching (JJ)
re-ent,re-entering (JJ),re-entering (JJ)
re-establish,re-establish (JJ),re-establish (JJ)
re-industri,re-industrialized (JJ),re-industrialized (JJ)
re-plot,re-plot (NN),re-plot (NN)
re-read,re-reading (VBG),re-reading (VBG),re-read (NN)
re-seal,re-sealed (JJ),re-sealed (JJ)
re-secur,re-secure (NN),re-secure (NN)
re-sent,re-sent (JJ),re-sent (JJ)
re-spun,re-spun (JJ),re-spun (JJ)
re-structur,re-structuring (NN),re-structuring (NN)
re-weav,re-weave (VBP),re-weave (VBP),re-weaving (JJ)
reach,reach (v),reach (VBP),reaching (VBG),reaches (NNS),reached (VBN)
react,react (v),reacting (VBG),react (NN)
reaction,reaction (n),reactions (NNS),reaction (NN)
reactiv,reactivate (NN),reactivate (NN),reactive (JJ)
reactor,reactor (n),reactor (NN),reactors (NNS)
reactor-contain,reactor-containment (NN),reactor-containment (NN)
read,read (v),reading (VBG),read (JJ),readings (NNS)
reader,reader (n),readers (NNS),reader (NN)
readi,ready (n),ready (JJ),readies (NNS)
readili,readily (RB),readily (RB)
readout,readout (n),readout (NN),readouts (NNS)
reaffirm,reaffirm (v),reaffirmed (VBD)
real,real (n),real (JJ)
real-lif,real-life (JJ),real-life (JJ)
realiti,reality (n),reality (NN),realities (NNS)
realiz,realize (v),realizing (VBG),realizes (JJ),realized (VBN),realize (NN)
realize,realization (n),realization (NN)
realli,really (RB),really (RB)
realloc,reallocate (v),reallocate (VB)
realm,realm (VBD),realm (VBD)
rear,rear (v),reared (VBD),rears (NNS),rear (VBP)
rearmost,rearmost (NN),rearmost (NN)
rearrang,rearrangement (n),rearrangement (NN)
reason,reasonable (JJ),reasonable (JJ),reasoning (VBG),reasonably (NN),reasons (NNS),reason (NN)
reassur,reassure (v),reassuring (VBG),reassured (VBD),reassure (NN),reassurance (NN)
reawaken,reawaken (v),reawakened (VBD),reawaken (VBP)
rebellion,rebellion (n),rebellion (NN)
rebirth,rebirth (n),rebirth (NN)
rebound,rebound (v),rebounding (VBG),rebound (NN)
rebuild,rebuild (v),rebuilding (VBG)
rebuilt,rebuilt (NN),rebuilt (NN)
rec,rec (NN),rec (NN)
recal,recall (v),recalled (VBD),recall (VBP),recalls (NNS)
recalcitr,recalcitrant (JJ),recalcitrant (JJ)
recalibr,recalibrating (VBG),recalibrating (VBG)
recant,recant (JJ),recant (JJ)
recaptur,recapture (n),recapture (NN)
recast,recast (v),recast (VBP)
reced,recede (JJ),recede (JJ),receding (VBG),receded (VBD),recedes (NNS)
receiv,receive (v),received (VBN),receives (NNS),receiving (VBG),receiver (RB),receivers (NNS),receive (JJ)
recent,recently (RB),recently (RB),recent (JJ)
recept,reception (n),reception (NN),receptive (NN)
receptacl,receptacle (n),receptacle (NN)
receptor,receptor (n),receptors (NNS)
recharg,recharge (NN),recharge (NN)
recheck,rechecks (NNS),rechecks (NNS),rechecking (VBG)
recidivist,recidivist (n),recidivist (JJ)
recit,recite (v),reciting (VBG)
reckon,reckoned (JJ),reckoned (JJ),reckon (JJ),reckons (NNS)
reclam,reclamation (n),reclamation (NN)
reclin,reclines (NNS),reclines (NNS)
reclus,recluse (n),recluse (NN)
recogn,recognize (v),recognizing (VBG),recognize (VB),recognized (VBN),recognizes (VBZ)
recognit,recognition (n),recognition (NN)
recoil,recoil (n),recoils (NNS),recoiled (JJ)
recollect,recollection (n),recollections (NNS),recollection (VBP)
recolour,recoloured (VBN),recoloured (VBN)
recommend,recommend (v),recommending (VBG),recommended (VBD),recommendations (NNS)
reconcil,reconcile (v),reconciled (VBD)
recondit,recondition (v),reconditioning (VBG),reconditioned (VBD)
reconfigur,reconfigurable (JJ),reconfigurable (JJ),reconfigure (NN),reconfigured (VBN)
reconnaiss,reconnaissance (n),reconnaissance (NN)
reconsid,reconsider (v),reconsidered (VBD),reconsider (NN)
reconstruct,reconstruct (v),reconstructed (VBN),reconstructions (NNS)
record,record (v),recorded (VBN),recording (VBG),records (NNS),recordings (VBP),recorder (NN),record (NN)
recount,recount (v),recounted (VBD)
recov,recover (v),recover (VBP),recovered (VBD)
recoveri,recovery (n),recovery (NN)
recreat,recreate (JJ),recreate (JJ)
recruit,recruit (v),recruiting (VBG),recruits (NNS)
rectifi,rectify (v),rectified (VBD)
recur,recur (v),recurred (VBD),recurring (VBG)
recurs,recursive (JJ),recursive (JJ)
recus,recusant (n),recusant (JJ)
recycl,recycle (v),recycled (VBN)
red,red (n),red (JJ)
redeem,redeem (JJ),redeem (JJ)
redeploy,redeploy (v),redeployed (VBN)
rediscov,rediscover (v),rediscovering (VBG)
reduc,reduce (v),reduce (VB),reduces (NNS),reduced (VBD)
redund,redundant (NN),redundant (NN)
reef,reef (n),reef (NN)
reek,reek (n),reek (NN)
reel,reel (n),reel (JJ),reeled (JJ)
refer,refer (v),referred (VBN),referring (VBG),reference (NN),refer (NN),references (NNS)
referenc,reference (v),referencing (VBG)
refin,refine (v),refine (VBP),refinements (NNS),refinement (NN),refining (VBG),refined (VBN)
refit,refit (v),refitting (VBG)
reflect,reflect (v),reflected (VBD),reflecting (VBG),reflection (NN),reflective (JJ),reflections (NNS),reflect (VBP),reflects (VBZ)
reflex,reflex (n),reflexes (NNS)
refocus,refocus (v),refocused (VBD)
reform,reform (v),reforming (VBG),reforms (NNS)
reformat,reformatting (NN),reformatting (NN)
refract,refraction (n),refraction (NN)
refrain,refrain (n),refrain (NN),refrained (VBN)
refresh,refreshingly (RB),refreshingly (RB)
refug,refuge (n),refuge (NN)
refuge,refugee (n),refugees (NNS)
refurbish,refurbish (v),refurbished (VBN)
refus,refuse (v),refused (VBD),refusal (NN),refuses (NNS),refuse (NN)
regain,regains (NNS),regains (NNS),regaining (VBG),regained (VBN),regain (NN)
regard,regard (v),regarding (VBG),regard (NN),regarded (VBD),regards (NNS)
regim,regime (n),regime (NN)
region,region (n),regions (NNS)
regist,register (n),registers (NNS),register (NN),registered (VBD)
regret,regret (n),regret (NN)
regrew,regrew (NN),regrew (NN)
regrow,regrow (NN),regrow (NN)
regul,regulated (JJ),regulated (JJ),regulate (VBP)
regular,regularly (RB),regularly (RB),regular (JJ)
reign,reign (v),reigning (VBG)
rein,reined (JJ),reined (JJ),rein (NNS)
reinforc,reinforcement (n),reinforcement (NN),reinforced (VBD)
reinterpret,reinterpret (v),reinterpreted (VBN)
reinvigor,reinvigorate (v),reinvigorated (VBN)
reject,rejection (n),rejection (NN),reject (JJ)
relat,relates (NNS),relates (NNS),relation (VBP),relatives (NNS),related (VBN),relatively (RB),relative (JJ),relations (NNS)
